Pair,Entry Year,Entry Date,Exit Date,Direction,Entry Spread,Exit Spread,Net PnL (bps),Holding Days,Exit Reason
JPY-AUD 10Y,2016,2016-08-02,2016-08-08,Short,0.0583976692164203,0.020177669414362304,377.1999980205799,6,Mean Reversion
JPY-AUD 10Y,2022,2022-12-21,2022-12-23,Short,0.0355936005632399,-0.010961204070935426,460.54804634175326,2,Regime Shift (Forced)
JPY-AUD 5Y,2016,2016-08-01,2016-08-08,Short,0.04984346758526206,0.016116693210211794,332.2677437505027,7,Mean Reversion
JPY-AUD 5Y,2016,2016-11-17,2016-11-18,Short,-0.0034851632208336147,-0.002087000392787225,-18.981628280463898,1,Mean Reversion
USD-EUR 10Y,2012,2012-04-11,2012-04-17,Long,-0.03753692208812964,-0.0071515848033909535,298.8533728473869,6,Mean Reversion
USD-EUR 10Y,2013,2013-06-20,2013-06-27,Short,0.02674928654101083,-0.01135862281867861,376.0790935968944,7,Mean Reversion
USD-EUR 10Y,2013,2013-07-08,2013-07-10,Short,0.012511661847363964,0.010077664728729063,19.339971186349008,2,Regime Shift (Forced)
USD-EUR 10Y,2013,2013-08-02,2013-08-06,Short,-0.0153165868756866,-0.00908958697064599,-67.26999905040608,4,Mean Reversion
USD-EUR 10Y,2016,2016-01-14,2016-01-27,Long,-0.04582316337831216,0.00020507259315194482,455.282359714641,13,Mean Reversion
USD-EUR 10Y,2016,2016-02-11,2016-02-17,Long,-0.03867384187091838,0.039174860994329486,773.4870286524787,6,Mean Reversion
USD-EUR 10Y,2016,2016-03-02,2016-03-09,Short,0.02512412536354633,0.0004727235296531074,241.5140183389322,7,Mean Reversion
USD-EUR 10Y,2017,2017-03-16,2017-03-27,Long,-0.02393782362731567,-0.031069885499643513,-76.32061872327844,11,Mean Reversion
USD-EUR 10Y,2018,2018-01-22,2018-01-24,Short,0.03238548346368014,0.007814857882335935,240.70625581344208,2,Mean Reversion
USD-EUR 10Y,2018,2018-02-07,2018-02-09,Short,0.0311869397338963,0.030739594360978617,-0.5265462708231539,2,Mean Reversion
USD-EUR 10Y,2018,2018-02-22,2018-03-07,Short,0.02919394930506658,0.010778312112476263,179.15637192590316,13,Mean Reversion
USD-EUR 10Y,2018,2018-12-20,2018-12-21,Long,-0.005442266153800529,-0.02887335286971318,-239.31086715912653,1,Mean Reversion
USD-EUR 10Y,2019,2019-08-02,2019-08-06,Long,-0.047661679519459876,-0.06245879179945768,-152.97112279997805,4,Hard Stop
USD-EUR 10Y,2019,2019-08-06,2019-08-08,Long,-0.06245879179945768,-0.0187332904486176,432.2550135084008,2,Regime Shift (Forced)
USD-EUR 10Y,2019,2019-10-03,2019-10-17,Long,-0.05586801367967953,-0.005744887716739866,496.2312596293966,14,Mean Reversion
USD-EUR 10Y,2020,2020-01-06,2020-01-07,Long,0.006344080513377981,0.00823566590344127,13.915853900632882,1,Mean Reversion
USD-EUR 10Y,2020,2020-01-10,2020-01-17,Long,-0.048003239224735095,0.013768304146538402,612.7154337127349,7,Mean Reversion
USD-EUR 10Y,2020,2020-02-25,2020-02-27,Long,-0.02641743855173584,-0.04217280372605092,-162.55365174315082,2,Regime Shift (Forced)
USD-EUR 10Y,2020,2020-10-06,2020-10-07,Short,0.00767718838305248,0.03285705381355686,-256.7986543050438,1,Mean Reversion
USD-EUR 10Y,2022,2022-04-28,2022-05-04,Short,-0.03564840635460598,-0.020630208745628043,-155.18197608977934,6,Mean Reversion
USD-EUR 10Y,2022,2022-09-23,2022-09-26,Short,-0.007198470371272414,0.0735545442650718,-812.5301463634421,3,Mean Reversion
USD-EUR 10Y,2022,2022-10-21,2022-10-24,Short,0.00970034032467959,0.05035397392682617,-411.5363360214658,3,Mean Reversion
USD-EUR 10Y,2022,2022-10-25,2022-10-27,Short,0.025118521423051376,0.020234143182023434,43.843782410279424,2,Mean Reversion
USD-EUR 10Y,2022,2022-11-11,2022-11-16,Long,-0.08983033358819847,-0.011880286519106775,774.500470690917,5,Hard Stop
USD-EUR 10Y,2023,2023-02-02,2023-02-14,Long,0.02893289131600163,-0.003542292453431406,-329.75183769433033,12,Mean Reversion
USD-EUR 10Y,2023,2023-03-13,2023-03-14,Long,-0.005158467949774703,0.000775585601850759,54.34053551625462,1,Mean Reversion
USD-EUR 10Y,2023,2023-04-05,2023-04-07,Long,-0.01488577079182618,0.03664761405818551,510.3338485001169,2,Mean Reversion
USD-EUR 10Y,2024,2024-02-14,2024-02-22,Short,0.02219109550362308,0.0017577255232259503,199.3336998039713,8,Mean Reversion
