Pair,Entry Year,Entry Date,Exit Date,Direction,Entry Spread,Exit Spread,Opt_Entry_Z,Opt_Exit_Z,Net PnL (bps),Holding Days,Exit Reason
JPY-AUD 10Y,2010,2010-09-03,2010-09-08,Short,0.011551834685529672,-0.005710351577492112,1.5,0.5,167.62186263021783,5,Mean Reversion
JPY-AUD 10Y,2016,2016-08-01,2016-08-08,Short,0.04961726097517895,0.020177669414362304,1.5,0.5,289.39591560816643,7,Mean Reversion
JPY-AUD 10Y,2022,2022-12-21,2022-12-23,Short,0.0355936005632399,-0.010961204070935426,1.5,0.5,460.54804634175326,2,Regime Shift (Forced)
JPY-AUD 10Y,2023,2023-03-13,2023-03-16,Long,-0.033528290137614325,-0.007799668718868336,1.5,0.5,252.2862141874599,3,Regime Shift (Forced)
JPY-AUD 10Y,2023,2023-04-06,2023-04-10,Short,0.01340073523409746,0.0026966167107079775,1.5,0.5,102.04118523389484,4,Mean Reversion
JPY-AUD 10Y,2023,2023-07-31,2023-08-03,Short,0.02070955795187368,0.005287171119908507,1.5,0.5,149.22386831965173,3,Mean Reversion
JPY-AUD 5Y,2016,2016-08-01,2016-08-08,Short,0.04984346758526206,0.016116693210211794,2.0,0.5,332.2677437505027,7,Mean Reversion
JPY-AUD 5Y,2016,2016-11-17,2016-11-18,Short,-0.0034851632208336147,-0.002087000392787225,2.0,0.5,-18.981628280463898,1,Mean Reversion
USD-EUR 10Y,2012,2012-01-06,2012-01-09,Short,0.004193345510675295,0.005172937943877853,1.5,0.5,-14.795924332025585,3,Mean Reversion
USD-EUR 10Y,2012,2012-03-14,2012-03-19,Short,0.039062763782605314,0.031195357404835145,1.5,0.5,73.67406377770169,5,Regime Shift (Forced)
USD-EUR 10Y,2012,2012-04-04,2012-04-05,Short,-0.0016449058637157954,-0.0005429953803974819,1.5,0.5,-16.019104833183135,1,Mean Reversion
USD-EUR 10Y,2012,2012-04-12,2012-04-17,Long,-0.01488791278938173,-0.0071515848033909535,1.5,0.5,72.36327985990776,5,Mean Reversion
USD-EUR 10Y,2012,2012-09-26,2012-09-27,Long,-0.010440666587810288,0.019096884492974864,1.5,0.5,290.3755108078515,1,Mean Reversion
USD-EUR 10Y,2013,2013-06-20,2013-06-27,Short,0.02674928654101083,-0.01135862281867861,1.5,0.5,376.0790935968944,7,Mean Reversion
USD-EUR 10Y,2013,2013-07-04,2013-07-10,Short,0.03242466442590519,0.010077664728729063,1.5,0.5,218.46999697176128,6,Regime Shift (Forced)
USD-EUR 10Y,2013,2013-08-02,2013-08-06,Short,-0.0153165868756866,-0.00908958697064599,1.5,0.5,-67.26999905040608,4,Mean Reversion
USD-EUR 10Y,2014,2014-09-08,2014-09-10,Short,0.018624877389417316,-0.010595972291731037,1.5,0.5,287.20849681148354,2,Mean Reversion
USD-EUR 10Y,2014,2014-12-05,2014-12-08,Long,0.011978224243519908,0.02611698747637936,1.5,0.5,136.38763232859452,3,Mean Reversion
USD-EUR 10Y,2016,2016-01-08,2016-01-12,Long,-0.042188296736839825,-0.04695909314005903,1.5,0.5,-52.70796403219202,4,Mean Reversion
USD-EUR 10Y,2016,2016-01-13,2016-01-27,Long,-0.055548309043093436,0.00020507259315194482,1.5,0.5,552.5338163624538,14,Mean Reversion
USD-EUR 10Y,2016,2016-02-03,2016-02-04,Long,0.009794352796055089,-0.03974100809059719,1.5,0.5,-500.3536088665228,1,Mean Reversion
USD-EUR 10Y,2016,2016-02-11,2016-02-15,Long,-0.03867384187091838,0.010036214434484686,1.5,0.5,482.10056305403066,4,Mean Reversion
USD-EUR 10Y,2016,2016-03-02,2016-03-09,Short,0.02512412536354633,0.0004727235296531074,1.5,0.5,241.5140183389322,7,Mean Reversion
USD-EUR 10Y,2017,2017-03-13,2017-03-14,Long,0.012974434384030953,0.00608391021027993,1.5,0.5,-73.90524173751022,1,Mean Reversion
USD-EUR 10Y,2017,2017-03-16,2017-03-27,Long,-0.02393782362731567,-0.031069885499643513,1.5,0.5,-76.32061872327844,11,Mean Reversion
USD-EUR 10Y,2017,2017-04-10,2017-04-13,Short,0.03624216147729553,-0.035319707079471296,1.5,0.5,710.6186855676683,3,Regime Shift (Forced)
USD-EUR 10Y,2017,2017-04-13,2017-04-18,Long,-0.035319707079471296,-0.048737671316068376,1.5,0.5,-139.1796423659708,5,Mean Reversion
USD-EUR 10Y,2018,2018-01-01,2018-01-03,Long,-0.02879538137864268,0.0015663564410217101,1.5,0.5,298.6173781966439,2,Mean Reversion
USD-EUR 10Y,2018,2018-01-10,2018-01-11,Short,-0.009558974993146396,-0.0401015568410899,1.5,0.5,300.42581847943507,1,Mean Reversion
USD-EUR 10Y,2018,2018-01-12,2018-01-17,Long,-0.019185663681910936,0.032729973949731594,1.5,0.5,514.1563763164253,5,Mean Reversion
USD-EUR 10Y,2018,2018-01-19,2018-01-24,Short,0.05467610130297729,0.007814857882335935,1.5,0.5,463.6124342064135,5,Mean Reversion
USD-EUR 10Y,2018,2018-02-02,2018-02-09,Short,0.03365602151185232,0.030739594360978617,1.5,0.5,24.164271508737016,7,Mean Reversion
USD-EUR 10Y,2018,2018-02-15,2018-02-20,Short,0.029305407138454642,0.012376723185986371,1.5,0.5,164.2868395246827,5,Mean Reversion
USD-EUR 10Y,2018,2018-02-22,2018-02-27,Short,0.02919394930506658,0.01017702586551572,1.5,0.5,185.1692343955086,5,Mean Reversion
USD-EUR 10Y,2018,2018-12-20,2018-12-21,Long,-0.005442266153800529,-0.02887335286971318,1.5,0.5,-239.31086715912653,1,Mean Reversion
USD-EUR 10Y,2019,2019-07-15,2019-07-17,Long,-0.018977269719300582,-0.012578626955837224,1.5,0.5,58.98642763463358,2,Mean Reversion
USD-EUR 10Y,2019,2019-07-24,2019-08-01,Short,0.027675990435753084,-0.07058904080244827,1.5,0.5,977.6503123820135,8,Mean Reversion
USD-EUR 10Y,2019,2019-08-02,2019-08-08,Long,-0.047661679519459876,-0.0187332904486176,1.5,0.5,284.28389070842275,6,Regime Shift (Forced)
USD-EUR 10Y,2019,2019-08-13,2019-08-16,Long,0.025466015446999002,-0.009249492409760474,1.5,0.5,-352.1550785675947,3,Mean Reversion
USD-EUR 10Y,2019,2019-09-11,2019-09-19,Short,0.04972030773643288,-0.002113812748056665,1.5,0.5,513.3412048448954,8,Mean Reversion
USD-EUR 10Y,2019,2019-10-02,2019-10-14,Long,-0.07333876078264678,0.012585120798025318,1.5,0.5,854.238815806721,12,Mean Reversion
USD-EUR 10Y,2019,2019-10-17,2019-10-18,Long,-0.005744887716739866,-0.02671753906678276,1.5,0.5,-214.72651350042892,1,Mean Reversion
USD-EUR 10Y,2020,2020-01-10,2020-01-15,Long,-0.048003239224735095,-0.03310184953851636,1.5,0.5,144.01389686218735,5,Regime Shift (Forced)
USD-EUR 10Y,2020,2020-02-24,2020-02-27,Long,-0.061529001051451315,-0.04217280372605092,1.5,0.5,188.56197325400393,3,Regime Shift (Forced)
