pair,ccy_A,ccy_B,tenor,regime_state,window_end_date,adf_stat,adf_pval,hedge_ratio_beta,cointegrated,n_obs,r_squared
USD-EUR 5Y,USD,EUR,5Y,0,2008-02-08,1.075311055681907,0.9950003056025549,0.42116596313598154,False,250,0.13526603158244654
USD-EUR 5Y,USD,EUR,5Y,0,2008-02-12,1.012868434678845,0.9943998868211579,0.4238418164535953,False,250,0.13255574979962792
USD-EUR 5Y,USD,EUR,5Y,0,2008-02-13,0.7808238908328261,0.9913202384484353,0.42658968743223435,False,250,0.13010743771120215
USD-EUR 5Y,USD,EUR,5Y,0,2008-02-14,0.665809613026521,0.9891302514324676,0.4279251928413463,False,250,0.12692150516709222
USD-EUR 5Y,USD,EUR,5Y,0,2008-02-15,0.6011673011214177,0.987644365817496,0.43064553188870536,False,250,0.12476034345630316
USD-EUR 5Y,USD,EUR,5Y,0,2008-02-18,0.6410953283387545,0.9885859525909345,0.4315296604101744,False,250,0.12158542940471995
USD-EUR 5Y,USD,EUR,5Y,0,2008-02-21,0.7407719878023883,0.990617390889016,0.4303773680486854,False,250,0.11745475955120954
USD-EUR 5Y,USD,EUR,5Y,0,2008-02-22,0.5211792423245035,0.9855028033567196,0.4306047696198221,False,250,0.11430350687502899
USD-EUR 5Y,USD,EUR,5Y,0,2008-02-25,0.17770839730694718,0.9709832434988719,0.4301587290514373,False,250,0.11129574060088465
USD-EUR 5Y,USD,EUR,5Y,0,2008-02-26,0.4809327773389633,0.9842818954289604,0.428377545007932,False,250,0.10758737072822278
USD-EUR 5Y,USD,EUR,5Y,0,2008-02-27,0.45969937458760873,0.9835953269837823,0.42649130362957666,False,250,0.10399692385157266
USD-EUR 5Y,USD,EUR,5Y,0,2008-02-28,0.8490738586415986,0.9923884026425593,0.4279065440856862,False,250,0.10147206047348611
USD-EUR 5Y,USD,EUR,5Y,0,2008-02-29,1.1203117421206843,0.9953863008091497,0.4343788377913105,False,250,0.10087421049447076
USD-EUR 5Y,USD,EUR,5Y,0,2008-03-03,1.0150257104854044,0.9944219842951912,0.44109260730978356,False,250,0.10055396997440791
USD-EUR 5Y,USD,EUR,5Y,0,2008-03-04,0.9335297778202768,0.9935126628644613,0.44926211681333716,False,250,0.10113413171157881
USD-EUR 5Y,USD,EUR,5Y,0,2008-03-05,0.9404667526709921,0.9935963434404245,0.45484311135101807,False,250,0.1004697498599304
USD-EUR 5Y,USD,EUR,5Y,0,2008-03-06,1.1006214626405713,0.9952219230051272,0.46802150839493906,False,250,0.10287713182267388
USD-EUR 5Y,USD,EUR,5Y,0,2008-03-07,1.1346597268078613,0.9955018396029115,0.4818223836878044,False,250,0.10551598261951123
USD-EUR 5Y,USD,EUR,5Y,0,2008-03-10,1.1196437022778252,0.9953808354302215,0.49811509589212505,False,250,0.10915924482846451
USD-EUR 5Y,USD,EUR,5Y,0,2008-03-11,0.7115387403451369,0.990065354058868,0.5095712104512954,False,250,0.10950976432985404
USD-EUR 5Y,USD,EUR,5Y,0,2008-04-22,0.6233492427973091,0.9881772290234597,0.5064126750713946,False,250,0.10415434072569651
USD-EUR 5Y,USD,EUR,5Y,0,2008-04-23,0.5412199714716096,0.986073535311632,0.5033207353631779,False,250,0.09888773817014673
USD-EUR 5Y,USD,EUR,5Y,0,2008-04-24,0.22583606633211886,0.9736739961728194,0.502639998561592,False,250,0.09500215000973111
USD-EUR 5Y,USD,EUR,5Y,0,2008-04-25,0.03964732495131384,0.9616906317260846,0.5022333976804679,False,250,0.09152084888486578
USD-EUR 5Y,USD,EUR,5Y,0,2008-04-28,0.14621195503247603,0.9690782024220036,0.5020535090252963,False,250,0.08810300996991216
USD-EUR 5Y,USD,EUR,5Y,0,2008-04-29,0.1205305157552263,0.9674351745692082,0.5047026688089128,False,250,0.08568166286082768
USD-EUR 5Y,USD,EUR,5Y,0,2008-04-30,0.252703698066198,0.9750674133047894,0.5070856187060697,False,250,0.0831894623311139
USD-EUR 5Y,USD,EUR,5Y,0,2008-08-12,0.07486836123540593,0.964302756838499,0.506392716430113,False,250,0.07995400490824534
USD-EUR 5Y,USD,EUR,5Y,0,2008-08-13,-0.11166194645317486,0.94826449868093,0.5075568159790818,False,250,0.07743817831836552
USD-EUR 5Y,USD,EUR,5Y,0,2008-08-14,0.03315690318605911,0.961189739549746,0.5084721533313566,False,250,0.07490778946385568
USD-EUR 5Y,USD,EUR,5Y,0,2008-08-15,0.12702966307064523,0.9678588120689059,0.5104674487032393,False,250,0.07262694259438618
USD-EUR 5Y,USD,EUR,5Y,0,2008-08-18,0.09661131421516213,0.9658289697838518,0.5155040612690133,False,250,0.07101534723633374
USD-EUR 5Y,USD,EUR,5Y,0,2008-08-19,0.03570984125398651,0.9613875011614599,0.5210215339025728,False,250,0.07061620766566179
USD-EUR 5Y,USD,EUR,5Y,0,2008-08-20,0.052989792835502356,0.9627009987449641,0.5262747456277592,False,250,0.07013401062464364
USD-EUR 5Y,USD,EUR,5Y,0,2008-08-21,0.07504354978586403,0.9643153121311377,0.5293388572806523,False,250,0.06927213147932287
USD-EUR 5Y,USD,EUR,5Y,0,2008-08-22,-0.05399364602532983,0.9538324788983595,0.5310966417736516,False,250,0.06825005309625787
USD-EUR 5Y,USD,EUR,5Y,0,2008-08-25,-0.02960508029725915,0.9560142068353585,0.5367961102529096,False,250,0.06796538895340631
USD-EUR 5Y,USD,EUR,5Y,0,2008-08-26,-0.05609419404156781,0.9536398942871018,0.543633610604904,False,250,0.06785872313177299
USD-EUR 5Y,USD,EUR,5Y,0,2008-08-27,0.07957936785397043,0.964638907937145,0.547256973396292,False,250,0.06696359809425312
