n_windows,pct_windows_cointegrated,mean_adf_stat,mean_hedge_ratio,std_hedge_ratio,pair,ccy_A,ccy_B,tenor,regime_state
1204,9.800664451827243,-1.7192259384087503,0.8908351073122623,0.7220609507711533,USD-EUR 5Y,USD,EUR,5Y,0
1285,16.420233463035018,-1.950508287222979,1.224079151359148,1.3498706385914698,USD-EUR 5Y,USD,EUR,5Y,1
1238,4.281098546042003,-1.7099430161781124,0.8849967232564282,0.576002644916386,USD-EUR 5Y,USD,EUR,5Y,2
115,38.26086956521739,-2.5322180596112687,0.5252052079368514,0.10342278982066712,USD-EUR 5Y,USD,EUR,5Y,3
1204,9.800664451827243,-1.653489167122104,0.8912270855361822,0.3316371518025391,USD-EUR 10Y,USD,EUR,10Y,0
1287,12.742812742812742,-1.8762873005106708,0.9455607073126204,0.6748813875072714,USD-EUR 10Y,USD,EUR,10Y,1
1239,3.87409200968523,-1.7001781541366632,0.8865645055658702,0.2558349883597388,USD-EUR 10Y,USD,EUR,10Y,2
115,51.30434782608696,-2.791998121752723,0.5888728422656552,0.030709021192941527,USD-EUR 10Y,USD,EUR,10Y,3
1204,7.059800664451828,-1.6493851105531292,0.12468989671773509,0.08399235287988682,JPY-AUD 5Y,JPY,AUD,5Y,0
1284,9.501557632398754,-1.8779622857570468,0.1571521441225987,0.14470236062639139,JPY-AUD 5Y,JPY,AUD,5Y,1
1236,10.11326860841424,-2.02775319602556,0.16521760853155573,0.13000831029740537,JPY-AUD 5Y,JPY,AUD,5Y,2
115,0.0,-1.9408318072572233,0.2129128257786858,0.022400120448491698,JPY-AUD 5Y,JPY,AUD,5Y,3
1204,2.3255813953488373,-1.525293097328107,0.19567938407988106,0.12010111825743737,JPY-AUD 10Y,JPY,AUD,10Y,0
1284,8.566978193146417,-1.7798643955797637,0.20868052637957685,0.1603061852545614,JPY-AUD 10Y,JPY,AUD,10Y,1
1236,8.009708737864079,-1.7356964082531459,0.2419384505323797,0.18385798912355616,JPY-AUD 10Y,JPY,AUD,10Y,2
115,0.0,-1.804388673326007,0.3361837003733022,0.015294908850696247,JPY-AUD 10Y,JPY,AUD,10Y,3
