tenor,asset_a,asset_b,ccy_a,ccy_b,corr_mean,corr_std,corr_p05,gate1_corr_stable,cocluster_pct_10y,gate2_cluster_persistent,pc1_diff_full,pc1_diff_lowvol,pc1_diff_highvol,gate3_pc1_neutral,pc1_cosine_good_frac,gate4_factor_stable_global,decision
10Y,GTUSD10Y Govt,GTEUR10Y Govt,USD,EUR,0.5282639758804955,0.1323035176588164,0.2742606344843588,True,73.53102690829215,True,0.04405518521266227,0.006575353798285902,0.04666386545428114,True,0.5694542047317873,True,Eligible
10Y,GTJPY10Y Govt,GTAUD10Y Govt,JPY,AUD,0.3417677209818996,0.1594755699901558,0.0049972837812162,True,76.44510828976848,True,0.05225057139515604,0.0023653812134215996,0.08601594310956312,True,0.5694542047317873,True,Eligible
5Y,GTUSD5Y Govt,GTEUR5Y Govt,USD,EUR,0.4574584044589093,0.1586337279490377,0.0578728349533074,True,73.53102690829215,True,0.04405518521266227,0.006575353798285902,0.04666386545428114,True,0.5694542047317873,True,Eligible
5Y,GTJPY5Y Govt,GTAUD5Y Govt,JPY,AUD,0.3023947076388045,0.1247837294821583,0.0503333552897145,True,76.44510828976848,True,0.05225057139515604,0.0023653812134215996,0.08601594310956312,True,0.5694542047317873,True,Eligible
10Y,GTEUR10Y Govt,GTAUD10Y Govt,EUR,AUD,0.2330873495158612,0.0897547740919773,0.0901463770976743,False,0.0,False,0.1675134075711559,0.0172641435108115,0.27951555388494476,False,0.5694542047317873,True,Rejected
10Y,GTEUR10Y Govt,GTJPY10Y Govt,EUR,JPY,0.1409281206530604,0.0964060997125647,-0.0136673418228236,False,0.0,False,0.21976397896631195,0.0148987622973899,0.3655314969945079,False,0.5694542047317873,True,Rejected
10Y,GTUSD10Y Govt,GTAUD10Y Govt,USD,AUD,0.1224597421899155,0.0958243987979568,-0.0192222468427037,False,0.0,False,0.12345822235849363,0.010688789712525598,0.23285168843066362,False,0.5694542047317873,True,Rejected
10Y,GTCNY10Y Govt,GTAUD10Y Govt,CNY,AUD,0.1129534747426536,0.0994936585113834,-0.0489600930966444,False,0.0,False,0.33433512781647134,0.8854471167584753,0.3366765872185921,False,0.5694542047317873,True,Rejected
10Y,GTUSD10Y Govt,GTJPY10Y Govt,USD,JPY,0.0865274111584793,0.0842243246564552,-0.039041589047151,False,0.0,False,0.17570879375364967,0.008323408499103999,0.31886763154022674,False,0.5694542047317873,True,Rejected
10Y,GTJPY10Y Govt,GTCNY10Y Govt,JPY,CNY,0.0795802095966273,0.0929658951965291,-0.0598140672697304,False,0.0,False,0.2820845564213153,0.8830817355450538,0.250660644109029,False,0.5694542047317873,True,Rejected
10Y,GTEUR10Y Govt,GTCNY10Y Govt,EUR,CNY,0.0688206159777019,0.0968051102958566,-0.0836813929433107,False,0.0,False,0.5018485353876272,0.8681829732476638,0.6161921411035368,False,0.5694542047317873,True,Rejected
10Y,GTUSD10Y Govt,GTCNY10Y Govt,USD,CNY,0.0513954770769241,0.103662226414952,-0.1087185890131704,False,0.0,False,0.457793350174965,0.8747583270459497,0.5695282756492557,False,0.5694542047317873,True,Rejected
5Y,GTEUR5Y Govt,GTAUD5Y Govt,EUR,AUD,0.2025348000097265,0.1086823044505886,0.0565425042733947,False,0.0,False,0.1675134075711559,0.0172641435108115,0.27951555388494476,False,0.5694542047317873,True,Rejected
5Y,GTEUR5Y Govt,GTJPY5Y Govt,EUR,JPY,0.1281231078936194,0.0821121560043132,-0.0261096881354979,False,0.0,False,0.21976397896631195,0.0148987622973899,0.3655314969945079,False,0.5694542047317873,True,Rejected
5Y,GTUSD5Y Govt,GTAUD5Y Govt,USD,AUD,0.1122868547248313,0.0997117791947885,-0.0555834222086313,False,0.0,False,0.12345822235849363,0.010688789712525598,0.23285168843066362,False,0.5694542047317873,True,Rejected
5Y,GTCNY5Y Govt,GTAUD5Y Govt,CNY,AUD,0.0927675867230788,0.0768260861390109,-0.0231484640343384,False,0.0,False,0.33433512781647134,0.8854471167584753,0.3366765872185921,False,0.5694542047317873,True,Rejected
5Y,GTUSD5Y Govt,GTJPY5Y Govt,USD,JPY,0.0759115847533772,0.0755651056432727,-0.0549801978077476,False,0.0,False,0.17570879375364967,0.008323408499103999,0.31886763154022674,False,0.5694542047317873,True,Rejected
5Y,GTJPY5Y Govt,GTCNY5Y Govt,JPY,CNY,0.0645739772541235,0.0951482949953226,-0.0786167062319562,False,0.0,False,0.2820845564213153,0.8830817355450538,0.250660644109029,False,0.5694542047317873,True,Rejected
5Y,GTEUR5Y Govt,GTCNY5Y Govt,EUR,CNY,0.0433760901140886,0.0834204058566213,-0.084367892447808,False,0.0,False,0.5018485353876272,0.8681829732476638,0.6161921411035368,False,0.5694542047317873,True,Rejected
5Y,GTUSD5Y Govt,GTCNY5Y Govt,USD,CNY,0.0265340073407655,0.0666613698175812,-0.078695868050526,False,0.0,False,0.457793350174965,0.8747583270459497,0.5695282756492557,False,0.5694542047317873,True,Rejected
