state,start_date,end_date,duration_days
0,2005-01-06,2005-01-28,23
2,2005-01-31,2005-03-04,33
3,2005-03-07,2005-03-07,1
2,2005-03-08,2005-03-25,18
0,2005-03-30,2005-04-01,3
3,2005-04-04,2005-04-04,1
1,2005-04-05,2005-06-27,84
0,2005-06-28,2005-07-18,21
2,2005-07-21,2006-01-02,166
0,2006-01-06,2006-02-01,27
1,2006-02-02,2006-02-16,15
0,2006-02-17,2006-04-25,68
2,2006-04-26,2006-05-15,20
0,2006-05-16,2006-06-19,35
1,2006-06-20,2006-06-29,10
0,2006-06-30,2006-07-13,14
1,2006-07-14,2006-11-29,139
0,2006-11-30,2006-12-15,16
2,2006-12-18,2007-03-07,80
0,2007-03-08,2007-04-19,43
2,2007-04-20,2007-05-21,32
0,2007-05-22,2007-06-07,17
3,2007-06-08,2007-06-13,6
0,2007-06-14,2007-07-26,43
3,2007-07-27,2007-07-27,1
1,2007-07-30,2007-08-07,9
3,2007-08-08,2007-08-10,3
0,2007-08-13,2007-09-06,25
1,2007-09-07,2007-09-18,12
3,2007-09-19,2007-09-24,6
1,2007-09-25,2007-11-20,57
3,2007-11-21,2007-11-28,8
0,2007-11-29,2007-12-10,12
3,2007-12-11,2007-12-13,3
0,2007-12-14,2008-01-21,39
3,2008-01-24,2008-01-31,8
0,2008-02-01,2008-03-11,40
3,2008-03-12,2008-03-21,10
2,2008-03-26,2008-04-16,22
3,2008-04-17,2008-04-21,5
0,2008-04-22,2008-04-30,9
1,2008-05-01,2008-06-05,36
3,2008-06-06,2008-06-10,5
1,2008-06-11,2008-07-30,50
3,2008-07-31,2008-08-11,12
0,2008-08-12,2008-09-12,32
3,2008-09-15,2008-12-22,99
1,2008-12-23,2008-12-31,9
3,2009-01-07,2009-02-16,41
0,2009-02-19,2009-03-18,28
3,2009-03-19,2009-03-20,2
2,2009-03-23,2009-04-02,11
0,2009-04-03,2009-04-09,7
2,2009-04-10,2009-05-21,42
3,2009-05-22,2009-06-10,20
2,2009-06-11,2009-06-18,8
3,2009-06-19,2009-06-23,5
2,2009-06-24,2009-07-01,8
3,2009-07-02,2009-07-08,7
0,2009-07-09,2009-08-14,37
2,2009-08-17,2009-12-18,124
0,2009-12-21,2010-03-24,94
3,2010-03-25,2010-03-25,1
2,2010-03-26,2010-05-06,42
3,2010-05-07,2010-05-07,1
2,2010-05-10,2010-06-03,25
0,2010-06-04,2010-06-23,20
1,2010-06-24,2010-07-01,8
3,2010-07-02,2010-07-05,4
1,2010-07-08,2010-09-01,56
3,2010-09-02,2010-09-06,5
1,2010-09-09,2010-09-17,9
3,2010-09-22,2010-09-23,2
0,2010-09-24,2010-11-03,41
3,2010-11-04,2010-11-04,1
2,2010-11-05,2011-02-25,113
0,2011-02-28,2011-04-28,60
1,2011-04-29,2011-08-04,98
3,2011-08-05,2011-08-19,15
1,2011-08-22,2011-09-19,29
3,2011-09-22,2011-09-23,2
1,2011-09-26,2011-10-27,32
3,2011-10-28,2011-11-02,6
1,2011-11-03,2011-11-23,21
3,2011-11-24,2011-11-24,1
0,2011-11-29,2012-01-16,49
2,2012-01-19,2012-03-14,56
3,2012-03-15,2012-03-15,1
2,2012-03-16,2012-04-13,29
0,2012-04-16,2012-05-24,39
1,2012-05-25,2012-09-20,119
0,2012-09-21,2012-11-29,70
2,2012-12-04,2013-03-14,101
0,2013-03-15,2013-03-29,15
1,2013-04-03,2013-05-28,56
3,2013-05-29,2013-05-31,3
0,2013-06-03,2013-06-19,17
3,2013-06-20,2013-06-25,6
2,2013-06-26,2013-07-05,10
3,2013-07-08,2013-07-09,2
0,2013-07-10,2013-07-24,15
2,2013-07-25,2013-08-01,8
3,2013-08-02,2013-08-05,4
2,2013-08-06,2013-10-21,77
0,2013-10-22,2013-12-20,60
2,2013-12-23,2014-02-06,46
0,2014-02-07,2014-03-05,27
1,2014-03-06,2014-10-15,224
3,2014-10-16,2014-10-17,2
1,2014-10-20,2014-10-29,10
0,2014-10-30,2014-12-08,40
2,2014-12-09,2014-12-11,3
3,2014-12-12,2014-12-16,5
2,2014-12-17,2015-01-01,16
3,2015-01-07,2015-01-07,1
2,2015-01-08,2015-01-15,8
0,2015-01-16,2015-02-12,28
2,2015-02-13,2015-03-04,20
0,2015-03-05,2015-03-18,14
3,2015-03-19,2015-03-23,5
0,2015-03-24,2015-06-02,71
3,2015-06-03,2015-06-04,2
2,2015-06-05,2015-06-29,25
3,2015-06-30,2015-06-30,1
2,2015-07-01,2015-08-11,42
0,2015-08-12,2015-08-24,13
3,2015-08-25,2015-08-26,2
2,2015-08-27,2015-09-16,21
0,2015-09-17,2015-10-16,30
2,2015-10-19,2015-11-12,25
0,2015-11-13,2015-12-03,21
3,2015-12-04,2015-12-04,1
0,2015-12-07,2015-12-10,4
1,2015-12-11,2016-02-03,55
3,2016-02-04,2016-02-04,1
1,2016-02-05,2016-03-16,41
3,2016-03-17,2016-03-18,2
0,2016-03-21,2016-05-24,65
2,2016-05-25,2016-06-03,10
3,2016-06-06,2016-06-06,1
0,2016-06-07,2016-06-24,18
3,2016-06-27,2016-06-28,2
0,2016-06-29,2016-07-01,3
2,2016-07-04,2016-08-31,59
0,2016-09-01,2016-10-07,37
2,2016-10-12,2016-11-09,29
3,2016-11-10,2016-11-11,2
2,2016-11-14,2017-02-27,106
0,2017-02-28,2017-04-13,45
