date,regime_most_likely,regime_prob_0,regime_prob_1,regime_prob_2,regime_raw
2006-01-02,0,1.0,1.314586347614538e-137,2.626266176579314e-33,0
2006-01-06,0,1.0,2.3847404113088128e-135,2.1714632967255486e-32,0
2006-01-09,0,1.0,5.105732934795253e-145,9.427416382957414e-35,0
2006-01-10,0,1.0,6.910502853550879e-141,6.396991917357342e-33,0
2006-01-11,0,1.0,2.3971240759244556e-145,4.45986399124793e-36,0
2006-01-12,0,1.0,6.433844283018126e-147,5.850162254357205e-35,0
2006-01-13,0,1.0,7.63588904264189e-137,1.2648020576178703e-32,0
2006-01-16,0,1.0,6.631135418987145e-149,8.5838760542501e-37,0
2006-01-19,0,1.0,9.157576198752188e-154,2.288116349534701e-37,0
2006-01-20,0,1.0,1.2365173864028435e-166,8.222092551876819e-42,0
2006-01-23,0,1.0,7.34485884113219e-171,2.2114318899356007e-41,0
2006-01-24,0,1.0,1.738851954372651e-162,5.575609158286821e-38,0
2006-01-25,0,1.0,1.3846077780010893e-159,2.5960763655856955e-39,0
2006-01-26,0,1.0,1.95836439782425e-154,2.4079622992022245e-36,0
2006-01-27,0,1.0,4.3452527827869625e-152,5.546544529289259e-37,0
2006-01-30,0,1.0,1.646067324918648e-191,4.5928810892587204e-51,0
2006-01-31,0,1.0,3.4212303596403006e-202,4.740471899389602e-52,0
2006-02-01,0,1.0,6.427286620820582e-206,1.1257999007725038e-52,0
2006-02-02,0,1.0,3.942908421011602e-205,7.207876557728548e-54,0
2006-02-03,0,1.0,6.46638125537478e-203,1.4958579261145518e-52,0
2006-02-06,0,1.0,1.1225628861843933e-205,2.3256725774868634e-53,0
2006-02-07,0,1.0,1.6875776026046693e-195,7.202330847580527e-50,0
2006-02-08,0,1.0,7.916267412528943e-201,1.0187205804121199e-51,0
2006-02-09,0,1.0,1.2213651175141807e-191,1.3505597509553755e-48,0
2006-02-10,0,1.0,1.0185559732411884e-193,1.520609847371035e-48,0
2006-02-13,0,1.0,1.698941652444065e-194,8.235208667596446e-50,0
2006-02-14,0,1.0,8.80853443657357e-193,4.684200606782713e-49,0
2006-02-15,0,1.0,5.848802579156831e-156,5.8442904320544984e-36,0
2006-02-16,0,1.0,2.9530994510597663e-161,1.9019883432655344e-39,0
2006-02-17,0,1.0,4.8003224271572614e-154,1.9601488773053523e-35,0
2006-02-20,0,1.0,3.2125616384412085e-132,1.4938755797747068e-29,0
2006-02-23,0,1.0,2.4060532454124323e-128,2.0266955906212846e-30,0
2006-02-24,0,1.0,2.09430939730381e-123,9.668376705451575e-29,0
2006-02-27,0,1.0,1.1242003002324279e-139,5.471140103288793e-35,0
2006-02-28,0,1.0,2.2543297414689468e-147,1.1627800945067884e-35,0
2006-03-01,0,3.98086933197784e-31,1.0,3.789280338148163e-54,1
2006-03-02,1,2.9825814234171604e-33,1.0,6.373784338457439e-57,1
2006-03-03,1,7.636969191208037e-36,1.0,6.834070422782238e-54,1
2006-03-06,1,1.4310705759773255e-35,1.0,2.5067317686052663e-62,1
2006-03-07,1,1.0485845165935636e-35,1.0,1.6875562495800722e-59,1
2006-03-08,1,4.0197219288152465e-31,1.0,2.4625462102021885e-57,1
2006-03-09,1,1.3655537484506434e-32,1.0,5.747276915074403e-56,1
2006-03-10,1,3.510195733841478e-34,1.0,8.330302749812664e-59,1
2006-03-13,1,6.585080757303853e-33,1.0,1.6185349635247252e-57,1
2006-03-14,1,1.6266892866370382e-31,1.0,1.2966108390968269e-51,1
2006-03-15,1,1.1181711939890327e-28,1.0,6.145023591968935e-50,1
2006-03-16,1,1.5597850095253186e-27,1.0,6.709098586421237e-49,1
2006-03-17,1,4.864314097923206e-26,1.0,5.147211471919732e-47,1
2006-03-20,1,9.701952286347451e-28,1.0,3.247842777161586e-50,1
2006-03-21,1,3.0473173921467347e-24,1.0,6.35802511672366e-48,1
2006-03-22,1,3.8397336341599565e-23,1.0,4.068343105123079e-46,1
2006-03-23,1,7.82193550296974e-24,1.0,3.871012056574007e-46,1
2006-03-24,1,5.528769972578035e-25,1.0,5.4056640133783185e-47,1
2006-03-27,1,1.2705321795644014e-23,1.0,8.08274237337913e-43,1
2006-03-28,1,4.298118117499803e-22,1.0,8.747246956974602e-41,1
2006-03-29,1,2.92399026839426e-16,1.0,4.332274940396071e-33,1
2006-03-30,1,1.1010934366575357e-17,1.0,2.1811846409649947e-31,1
2006-03-31,1,2.447385974353379e-18,1.0,1.0608341785390545e-29,1
2006-04-03,1,0.0014157333492108002,0.995663136135443,0.0029211305154146355,1
2006-04-04,1,0.003183988417006952,0.9941959497928596,0.0026200617900962366,1
2006-04-05,1,0.012688334442789872,0.9551724990024811,0.032139166554571906,1
2006-04-06,1,0.03149098624838047,0.9541516774753978,0.014357336276134072,1
2006-04-07,1,0.4574636477312641,0.5022046406872578,0.04033171158161886,1
2006-04-10,1,0.6369251868327703,0.14455169380684946,0.21852311936018595,0
2006-04-11,0,0.6384938089336888,0.021073707291838686,0.34043248377460605,0
2006-04-12,0,0.7108876835616853,0.005278335501159286,0.2838339809373803,0
2006-04-13,0,0.9121654459268299,0.0003339204244397944,0.08750063364858256,0
2006-04-14,0,0.6709274228084524,0.0003471876631463674,0.32872538952857905,0
2006-04-19,0,0.427680126434649,1.4826490594377705e-05,0.5723050470748666,0
2006-04-20,0,0.782616904365612,2.872554477081301e-05,0.21735437008972497,0
2006-04-21,0,0.8780999984581495,6.637817741101948e-06,0.12189336372407444,0
2006-04-24,0,0.9333691257962535,7.53837455674485e-06,0.06662333582934009,0
2006-04-25,0,0.8771511709995187,2.9794333585863576e-06,0.12284584956698937,0
2006-04-26,0,0.47546844380842973,8.789346537360972e-07,0.5245306772568622,0
2006-04-27,0,0.9310150907518895,2.7709570782929428e-08,0.06898488153853669,0
2006-04-28,0,0.16704629634802234,1.1356888634210471e-08,0.8329536922951751,2
2006-05-01,0,0.8487537415246615,6.559282658403899e-06,0.15123969919266084,0
2006-05-02,2,0.13083340848824732,8.54941327466434e-07,0.8691657365703607,2
2006-05-03,0,0.6595622074048603,7.886645459014593e-06,0.34042990594957584,0
2006-05-10,2,0.3144811618792936,1.540764861246521e-05,0.6855034304719881,2
2006-05-11,0,0.7148467301214133,2.412567094017687e-05,0.2851291442078597,0
2006-05-12,2,0.27101926736106197,3.319272317831968e-05,0.7289475399155355,2
2006-05-15,0,0.521737157403412,1.2942998837285466e-05,0.4782498995977939,0
2006-05-16,2,0.47458713251505885,7.769352776316714e-05,0.5253351739571521,2
2006-05-17,0,0.6520748420683016,0.00032118818449911106,0.3476039697470858,0
2006-05-18,2,0.652804464696574,2.7976621753087415e-05,0.34716755868184945,2
2006-05-19,0,0.44201960028478754,0.00013544808343945433,0.5578449516319723,0
2006-05-22,2,0.5184592161134343,7.344778703851305e-07,0.481540049408883,2
2006-05-23,0,0.4294179304358848,0.000104110912909049,0.5704779586510728,0
