Tenor,Asset_A,Asset_B,mean,std,p05,p50,pct_gt_06,pct_gt_08
10Y,GTUSD10Y Govt,GTEUR10Y Govt,0.5282639758804955,0.13230351765881646,0.2742606344843588,0.5536143281246821,32.59315424610052,0.0
5Y,GTUSD5Y Govt,GTEUR5Y Govt,0.45745840445890934,0.15863372794903777,0.05787283495330742,0.48538435305218375,15.857885615251298,0.0
10Y,GTJPY10Y Govt,GTAUD10Y Govt,0.3417677209818996,0.15947556999015586,0.004997283781216257,0.3813543212670064,0.0,0.0
5Y,GTJPY5Y Govt,GTAUD5Y Govt,0.3023947076388045,0.12478372948215836,0.050333355289714575,0.32391927319499625,0.0,0.0
10Y,GTEUR10Y Govt,GTAUD10Y Govt,0.23308734951586127,0.0897547740919773,0.09014637709767433,0.23194040665260207,0.0,0.0
5Y,GTEUR5Y Govt,GTAUD5Y Govt,0.20253480000972657,0.10868230445058867,0.0565425042733947,0.18963775979466313,0.0,0.0
10Y,GTEUR10Y Govt,GTJPY10Y Govt,0.1409281206530604,0.09640609971256475,-0.01366734182282365,0.1558789778819254,0.0,0.0
5Y,GTEUR5Y Govt,GTJPY5Y Govt,0.12812310789361944,0.08211215600431322,-0.026109688135497945,0.13429184279717274,0.0,0.0
10Y,GTUSD10Y Govt,GTAUD10Y Govt,0.12245974218991551,0.09582439879795687,-0.019222246842703704,0.11665511650781618,0.0,0.0
10Y,GTCNY10Y Govt,GTAUD10Y Govt,0.11295347474265367,0.09949365851138342,-0.04896009309664445,0.11172132295459168,0.0,0.0
5Y,GTUSD5Y Govt,GTAUD5Y Govt,0.11228685472483135,0.09971177919478855,-0.05558342220863135,0.1280544477817403,0.0,0.0
5Y,GTCNY5Y Govt,GTAUD5Y Govt,0.0927675867230788,0.07682608613901094,-0.023148464034338404,0.08686167103690408,0.0,0.0
10Y,GTUSD10Y Govt,GTJPY10Y Govt,0.08652741115847935,0.08422432465645528,-0.03904158904715106,0.08366186815686298,0.0,0.0
10Y,GTJPY10Y Govt,GTCNY10Y Govt,0.0795802095966273,0.0929658951965291,-0.05981406726973049,0.07215108770866803,0.0,0.0
5Y,GTUSD5Y Govt,GTJPY5Y Govt,0.07591158475337727,0.0755651056432727,-0.054980197807747676,0.07762625529796112,0.0,0.0
10Y,GTEUR10Y Govt,GTCNY10Y Govt,0.06882061597770198,0.09680511029585663,-0.08368139294331078,0.053576816357979104,0.0,0.0
5Y,GTJPY5Y Govt,GTCNY5Y Govt,0.06457397725412359,0.0951482949953226,-0.07861670623195627,0.06536282668826719,0.0,0.0
10Y,GTUSD10Y Govt,GTCNY10Y Govt,0.0513954770769241,0.10366222641495208,-0.10871858901317041,0.02471479383904692,0.0,0.0
5Y,GTEUR5Y Govt,GTCNY5Y Govt,0.043376090114088675,0.08342040585662132,-0.08436789244780803,0.04095554868912284,0.0,0.0
5Y,GTUSD5Y Govt,GTCNY5Y Govt,0.026534007340765574,0.06666136981758125,-0.078695868050526,0.025508157693169373,0.0,0.0
